Sample	CEU	YRI
Sample_279	0.243586	0.756414
Sample_28	0.240445	0.759555
Sample_280	0.193236	0.806764
Sample_281	0.234263	0.765737
Sample_282	0.177264	0.822736
Sample_283	0.236736	0.763264
Sample_284	0.216562	0.783438
Sample_285	0.177670	0.822330
Sample_286	0.180387	0.819613
Sample_287	0.223641	0.776359
Sample_288	0.209105	0.790895
Sample_289	0.223456	0.776544
Sample_29	0.163640	0.836360
Sample_290	0.217575	0.782425
Sample_291	0.174293	0.825707
Sample_292	0.234280	0.765720
Sample_293	0.228007	0.771993
Sample_294	0.196281	0.803719
Sample_295	0.218189	0.781811
Sample_296	0.199128	0.800872
Sample_297	0.194670	0.805330
Sample_298	0.188535	0.811465
Sample_299	0.190555	0.809445
Sample_3	0.191239	0.808761
Sample_30	0.225754	0.774246
Sample_300	0.208669	0.791331
Sample_301	0.163916	0.836084
Sample_302	0.207322	0.792678
Sample_303	0.158896	0.841104
Sample_304	0.132766	0.867234
Sample_305	0.143481	0.856519
Sample_306	0.210013	0.789987
Sample_307	0.230875	0.769125
Sample_308	0.170013	0.829987
Sample_309	0.148948	0.851052
Sample_31	0.199941	0.800059
Sample_310	0.195488	0.804512
Sample_311	0.125626	0.874374
Sample_312	0.169766	0.830234
Sample_313	0.178069	0.821931
Sample_314	0.239637	0.760363
Sample_315	0.185593	0.814407
Sample_316	0.176439	0.823561
Sample_317	0.218161	0.781839
Sample_318	0.208708	0.791292
Sample_319	0.174375	0.825625
Sample_32	0.158732	0.841268
Sample_320	0.191371	0.808629
Sample_321	0.237730	0.762270
Sample_322	0.209694	0.790306
Sample_323	0.206771	0.793229
Sample_324	0.185623	0.814377
Sample_325	0.232655	0.767345
Sample_326	0.233639	0.766361
Sample_327	0.215064	0.784936
Sample_328	0.213445	0.786555
Sample_329	0.193363	0.806637
Sample_33	0.171911	0.828089
Sample_330	0.207236	0.792764
Sample_331	0.144780	0.855220
Sample_332	0.144485	0.855515
Sample_333	0.168871	0.831129
Sample_334	0.207512	0.792488
Sample_335	0.180933	0.819067
Sample_336	0.172041	0.827959
Sample_337	0.230531	0.769469
Sample_338	0.195845	0.804155
Sample_339	0.206322	0.793678
Sample_34	0.165276	0.834724
Sample_340	0.229899	0.770101
Sample_341	0.187800	0.812200
Sample_342	0.196422	0.803578
Sample_343	0.195988	0.804012
Sample_344	0.207979	0.792021
Sample_345	0.177001	0.822999
Sample_346	0.201615	0.798385
Sample_347	0.203797	0.796203
Sample_348	0.185365	0.814635
Sample_349	0.170087	0.829913
Sample_35	0.189643	0.810357
Sample_350	0.185576	0.814424
Sample_351	0.207980	0.792020
Sample_352	0.225438	0.774562
Sample_353	0.274009	0.725991
Sample_354	0.201224	0.798776
Sample_355	0.243495	0.756505
Sample_356	0.184623	0.815377
Sample_357	0.157648	0.842352
Sample_358	0.177497	0.822503
Sample_359	0.171987	0.828013
Sample_36	0.207425	0.792575
Sample_360	0.203447	0.796553
Sample_361	0.165394	0.834606
Sample_362	0.195793	0.804207
Sample_363	0.220158	0.779842
Sample_364	0.218196	0.781804
Sample_365	0.175650	0.824350
Sample_366	0.201116	0.798884
Sample_367	0.183671	0.816329
Sample_368	0.244721	0.755279
Sample_369	0.261468	0.738532
Sample_37	0.257865	0.742135
Sample_370	0.201615	0.798385
Sample_371	0.241225	0.758775
Sample_372	0.176914	0.823086
Sample_373	0.245106	0.754894
Sample_374	0.224363	0.775637
Sample_375	0.236167	0.763833
Sample_376	0.228197	0.771803
Sample_377	0.190429	0.809571
Sample_378	0.181024	0.818976
Sample_379	0.283022	0.716978
Sample_38	0.230164	0.769836
Sample_380	0.186903	0.813097
Sample_381	0.200590	0.799410
Sample_382	0.235831	0.764169
Sample_383	0.266986	0.733014
Sample_384	0.179981	0.820019
Sample_385	0.219409	0.780591
Sample_386	0.183215	0.816785
Sample_387	0.257353	0.742647
Sample_388	0.182257	0.817743
Sample_389	0.150491	0.849509
Sample_39	0.150716	0.849284
Sample_390	0.216894	0.783106
Sample_391	0.170696	0.829304
Sample_392	0.231341	0.768659
Sample_393	0.225049	0.774951
Sample_394	0.197519	0.802481
Sample_395	0.185167	0.814833
Sample_396	0.192692	0.807308
Sample_397	0.245897	0.754103
Sample_398	0.218993	0.781007
Sample_399	0.179142	0.820858
Sample_4	0.211146	0.788854
Sample_40	0.202566	0.797434
Sample_400	0.216918	0.783082
Sample_401	0.204088	0.795912
Sample_402	0.165234	0.834766
Sample_403	0.206684	0.793316
Sample_404	0.185343	0.814657
Sample_405	0.170895	0.829105
Sample_406	0.250972	0.749028
Sample_407	0.146832	0.853168
Sample_408	0.164860	0.835140
Sample_409	0.200831	0.799169
Sample_41	0.174874	0.825126
Sample_410	0.220132	0.779868
Sample_411	0.196098	0.803902
Sample_412	0.207871	0.792129
Sample_413	0.211425	0.788575
Sample_414	0.255341	0.744659
Sample_415	0.219178	0.780822
Sample_416	0.191813	0.808187
