Sample	EUR	PUR	AFR
Sample_1	0.33810904545454545	0.0043743181818181815	0.6575166363636363
Sample_10	0.2845750454545455	0.0030376818181818183	0.7123872272727273
Sample_100	0.2936058181818182	0.024995999999999997	0.6813981363636364
Sample_11	0.2866275909090909	0.006600681818181819	0.7067716818181818
Sample_12	0.34068563636363636	0.0028796818181818177	0.6564347272727272
Sample_13	0.3819490909090909	0.0028206363636363637	0.6152302727272727
Sample_14	0.37805249999999996	0.007627909090909091	0.6143195909090909
Sample_15	0.3866771818181818	0.0012124090909090908	0.6121103636363636
Sample_16	0.38774645454545453	0.01917990909090909	0.5930735909090908
Sample_17	0.3218471818181818	0.012597181818181818	0.6655556363636363
Sample_18	0.29159263636363636	0.0021761818181818184	0.7062311818181818
Sample_19	0.31631227272727275	0.0024736363636363636	0.6812140909090909
Sample_2	0.35647727272727275	0.005129318181818182	0.6383934090909091
Sample_20	0.37911145454545453	0.014601363636363636	0.6062872272727273
Sample_21	0.38980386363636366	0.003828954545454545	0.6063671818181818
Sample_22	0.22578531818181818	0.008350999999999999	0.7658636818181819
Sample_23	0.3118220909090909	0.009400909090909092	0.6787769090909092
Sample_24	0.28887854545454544	0.0037956363636363634	0.7073258181818182
Sample_25	0.34620213636363634	0.006994818181818182	0.6468030909090909
Sample_26	0.26287381818181815	0.010248545454545455	0.7268776363636363
Sample_27	0.30521486363636363	0.010859272727272728	0.6839258636363637
Sample_28	0.400124	0.0005334545454545454	0.5993425454545455
Sample_29	0.280118	0.024749454545454543	0.6951325454545455
Sample_3	0.2671205	0.025211227272727274	0.7076682727272727
Sample_30	0.28455831818181815	0.02063377272727273	0.6948079090909091
Sample_31	0.35555400000000004	0.0018483181818181817	0.6425976818181819
Sample_32	0.2842727272727273	0.006217090909090908	0.7095101818181818
Sample_33	0.3529925909090909	0.017147636363636365	0.6298597272727272
Sample_34	0.34179540909090905	0.006290772727272727	0.6519138636363636
Sample_35	0.3614145	0.012776	0.6258094545454546
Sample_36	0.38951895454545454	0.004401227272727273	0.6060798181818181
Sample_37	0.39544368181818185	0.003426	0.6011302727272727
Sample_38	0.3636479090909091	0.005536409090909091	0.6308157272727273
Sample_39	0.2797805	0.0009900909090909092	0.7192293181818182
Sample_4	0.38755618181818186	0.002437909090909091	0.6100059090909091
Sample_40	0.3280786818181818	0.0052467727272727275	0.6666745
Sample_41	0.30975568181818186	0.004143590909090909	0.6861007727272728
Sample_42	0.3452589545454545	0.00834509090909091	0.6463959090909092
Sample_43	0.3296176818181818	0.01630190909090909	0.654080409090909
Sample_44	0.3594103181818182	0.0041133181818181815	0.6364763181818182
Sample_45	0.33169804545454545	0.028585772727272727	0.6397161818181818
Sample_46	0.39526568181818184	0.01831718181818182	0.5864170454545454
Sample_47	0.38986322727272726	0.0019535454545454548	0.6081832272727272
Sample_48	0.43947195454545457	0.005443545454545454	0.5550845
Sample_49	0.3015088181818182	0.005124045454545454	0.6933671363636363
Sample_5	0.3324571363636364	0.00985590909090909	0.6576869545454546
Sample_50	0.29900854545454547	0.007503454545454546	0.6934879545454545
Sample_51	0.3060180454545454	0.0	0.6939819545454546
Sample_52	0.3547580909090909	0.001168090909090909	0.6440738181818182
Sample_53	0.3971429090909091	0.0020852727272727273	0.6007717727272728
Sample_54	0.33747004545454545	1.2272727272727273e-05	0.6625176818181818
Sample_55	0.33939490909090914	0.012805863636363636	0.6477992727272727
Sample_56	0.3526405	0.005437272727272727	0.6419222272727273
Sample_57	0.3102323181818182	0.007978818181818182	0.6817888181818182
Sample_58	0.2846745	0.011053227272727274	0.7042722727272728
Sample_59	0.3250393636363636	0.018729909090909092	0.6562306818181818
Sample_6	0.32550795454545456	0.005678590909090909	0.6688134545454546
Sample_60	0.3269438181818182	0.012132318181818182	0.6609238636363636
Sample_61	0.32248059090909087	0.009292181818181817	0.6682272272727272
Sample_62	0.3384759090909091	0.015544545454545452	0.645979590909091
Sample_63	0.32228304545454545	0.008434454545454545	0.6692824545454545
Sample_64	0.34195813636363637	0.006350272727272727	0.6516915909090909
Sample_65	0.35090859090909093	0.0007395909090909091	0.6483518181818182
Sample_66	0.30209336363636363	0.014896409090909092	0.6830101818181817
Sample_67	0.3843115	0.0	0.6156885
