phase,population,method,interpolation_method,distance_bin,error_rate,n_sites
phased,three_populations,linear,linear,0-1000,0.6666666666666666,369
phased,three_populations,linear,linear,1000-5000,0.7019515079834417,1691
phased,three_populations,linear,linear,5000-10000,0.6970748636588994,2017
phased,three_populations,linear,linear,10000-50000,0.6841589014222658,16312
phased,three_populations,linear,linear,50000-100000,0.6771135515955242,19304
phased,three_populations,linear,linear,100000-inf,0.4725888829124812,825468
phased,three_populations,nearest,nearest,0-1000,0.6666666666666666,369
phased,three_populations,nearest,nearest,1000-5000,0.7019515079834417,1691
phased,three_populations,nearest,nearest,5000-10000,0.6970748636588994,2017
phased,three_populations,nearest,nearest,10000-50000,0.6841589014222658,16312
phased,three_populations,nearest,nearest,50000-100000,0.6771135515955242,19304
phased,three_populations,nearest,nearest,100000-inf,0.4725888829124812,825468
phased,three_populations,stepwise,stepwise,0-1000,0.6666666666666666,369
phased,three_populations,stepwise,stepwise,1000-5000,0.7019515079834417,1691
phased,three_populations,stepwise,stepwise,5000-10000,0.6970748636588994,2017
phased,three_populations,stepwise,stepwise,10000-50000,0.6841589014222658,16312
phased,three_populations,stepwise,stepwise,50000-100000,0.6771135515955242,19304
phased,three_populations,stepwise,stepwise,100000-inf,0.4725864600444838,825468
phased,two_populations,linear,linear,0-1000,0.9,70
phased,two_populations,linear,linear,1000-5000,1.0,219
phased,two_populations,linear,linear,5000-10000,1.0,273
phased,two_populations,linear,linear,10000-50000,1.0,2380
phased,two_populations,linear,linear,50000-100000,1.0,3026
phased,two_populations,linear,linear,100000-inf,1.0,942821
phased,two_populations,nearest,nearest,0-1000,0.9,70
phased,two_populations,nearest,nearest,1000-5000,1.0,219
phased,two_populations,nearest,nearest,5000-10000,1.0,273
phased,two_populations,nearest,nearest,10000-50000,1.0,2380
phased,two_populations,nearest,nearest,50000-100000,1.0,3026
phased,two_populations,nearest,nearest,100000-inf,1.0,942821
phased,two_populations,stepwise,stepwise,0-1000,0.9,70
phased,two_populations,stepwise,stepwise,1000-5000,1.0,219
phased,two_populations,stepwise,stepwise,5000-10000,1.0,273
phased,two_populations,stepwise,stepwise,10000-50000,1.0,2380
phased,two_populations,stepwise,stepwise,50000-100000,1.0,3026
phased,two_populations,stepwise,stepwise,100000-inf,1.0,942821
unphased,three_populations,linear,linear,0-1000,0.4957983193277311,357
unphased,three_populations,linear,linear,1000-5000,0.4596879063719116,1538
unphased,three_populations,linear,linear,5000-10000,0.4427397260273972,1825
unphased,three_populations,linear,linear,10000-50000,0.4274779195289499,15285
unphased,three_populations,linear,linear,50000-100000,0.3685567010309278,17072
unphased,three_populations,linear,linear,100000-inf,0.059234046248631,829084
unphased,three_populations,nearest,nearest,0-1000,0.4957983193277311,357
unphased,three_populations,nearest,nearest,1000-5000,0.4596879063719116,1538
unphased,three_populations,nearest,nearest,5000-10000,0.4427397260273972,1825
unphased,three_populations,nearest,nearest,10000-50000,0.4274779195289499,15285
unphased,three_populations,nearest,nearest,50000-100000,0.3685567010309278,17072
unphased,three_populations,nearest,nearest,100000-inf,0.059234046248631,829084
unphased,three_populations,stepwise,stepwise,0-1000,0.4901960784313725,357
unphased,three_populations,stepwise,stepwise,1000-5000,0.4596879063719116,1538
unphased,three_populations,stepwise,stepwise,5000-10000,0.4427397260273972,1825
unphased,three_populations,stepwise,stepwise,10000-50000,0.4274779195289499,15285
unphased,three_populations,stepwise,stepwise,50000-100000,0.3685567010309278,17072
unphased,three_populations,stepwise,stepwise,100000-inf,0.0592364585494352,829084
unphased,two_populations,linear,linear,0-1000,1.0,71
unphased,two_populations,linear,linear,1000-5000,0.9174757281553398,206
unphased,two_populations,linear,linear,5000-10000,1.0,237
unphased,two_populations,linear,linear,10000-50000,0.940193491644679,2274
unphased,two_populations,linear,linear,50000-100000,0.9454873646209386,2770
unphased,two_populations,linear,linear,100000-inf,0.961984922039246,943231
unphased,two_populations,nearest,nearest,0-1000,1.0,71
unphased,two_populations,nearest,nearest,1000-5000,0.8786407766990292,206
unphased,two_populations,nearest,nearest,5000-10000,1.0,237
unphased,two_populations,nearest,nearest,10000-50000,0.9283201407211962,2274
unphased,two_populations,nearest,nearest,50000-100000,0.9342960288808664,2770
unphased,two_populations,nearest,nearest,100000-inf,0.9485820546610534,943231
unphased,two_populations,stepwise,stepwise,0-1000,1.0,71
unphased,two_populations,stepwise,stepwise,1000-5000,0.8786407766990292,206
unphased,two_populations,stepwise,stepwise,5000-10000,1.0,237
unphased,two_populations,stepwise,stepwise,10000-50000,0.9327176781002638,2274
unphased,two_populations,stepwise,stepwise,50000-100000,0.9393501805054152,2770
unphased,two_populations,stepwise,stepwise,100000-inf,0.9487654667838524,943231
